[2024-10-12 15:47:28,980: INFO: main: Lets start our log]
[2024-10-12 15:48:47,605: INFO: main: Lets start our log]
[2024-10-14 23:31:14,456: INFO: main: Lets start our log]
[2024-10-15 00:01:55,533: INFO: global_fun: yaml file: config\config.yaml loaded successfully]
[2024-10-15 00:01:55,574: INFO: global_fun: yaml file: params.yaml loaded successfully]
[2024-10-15 00:01:55,583: INFO: global_fun: created directory at: storage]
[2024-10-15 00:01:55,592: INFO: global_fun: created directory at: storage/data_ingestion]
[2024-10-15 00:01:55,600: INFO: 2273400383: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file storage/data_ingestion/data.zip]
[2024-10-15 00:02:08,788: INFO: 2273400383: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file storage/data_ingestion/data.zip]
[2024-10-15 00:18:50,640: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-10-15 00:18:50,669: INFO: global_fun: yaml file: config\config.yaml loaded successfully]
[2024-10-15 00:18:50,683: INFO: global_fun: yaml file: params.yaml loaded successfully]
[2024-10-15 00:18:50,692: INFO: global_fun: created directory at: storage]
[2024-10-15 00:18:50,713: INFO: global_fun: created directory at: storage/data_ingestion]
[2024-10-15 00:18:50,779: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file storage/data_ingestion/data.zip]
[2024-10-15 00:19:04,661: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file storage/data_ingestion/data.zip]
[2024-10-15 00:19:09,861: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
